"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","dissolvedOxygen"
"Tuesday Lake",2015,154,2015-06-03,0.5,439.5,26,8.2
"Peter Lake",2015,159,2015-06-08,0.5,267.5,12,8.4
"Paul Lake",2015,160,2015-06-09,0.5,226.5,13,8.2
"Tuesday Lake",2015,161,2015-06-10,0.5,507.5,32,8.6
"Peter Lake",2015,166,2015-06-15,0.5,284.5,14,8.4
"Paul Lake",2015,167,2015-06-16,0.5,257.5,12,7.9
"Tuesday Lake",2015,168,2015-06-17,0.5,532.5,33,8.6
"Peter Lake",2015,173,2015-06-22,0.5,542.5,21,10.1
"Paul Lake",2015,174,2015-06-23,0.5,220.5,8,7.7
"Tuesday Lake",2015,175,2015-06-24,0.5,543.5,44,8.6
"Peter Lake",2015,180,2015-06-29,0.5,754.5,39,9.9
"Paul Lake",2015,181,2015-06-30,0.5,225.5,12,6.9
"Tuesday Lake",2015,182,2015-07-01,0.5,494.5,37,8.1
"Peter Lake",2015,187,2015-07-06,0.5,646.5,21,8.3
"Paul Lake",2015,188,2015-07-07,0.5,241.5,11,6.9
"Tuesday Lake",2015,189,2015-07-08,0.5,495.5,34,7.7
"Peter Lake",2015,194,2015-07-13,0.5,547.5,15,7.7
"Paul Lake",2015,195,2015-07-14,0.5,252.5,11,6.4
"Tuesday Lake",2015,196,2015-07-15,0.5,517.5,36,7.5
"Peter Lake",2015,201,2015-07-20,0.5,586.5,15,8.4
"Paul Lake",2015,202,2015-07-21,0.5,252.5,8,6.6
"Tuesday Lake",2015,203,2015-07-22,0.5,517.5,30,7.1
"Peter Lake",2015,208,2015-07-27,0.5,567.5,13,7.5
"Paul Lake",2015,209,2015-07-28,0.5,258.5,15,6.5
"Tuesday Lake",2015,210,2015-07-29,0.5,517.5,36,6.5
"Peter Lake",2015,215,2015-08-03,0.5,442.5,14,7
"Paul Lake",2015,216,2015-08-04,0.5,274.5,13,6.6
"Tuesday Lake",2015,217,2015-08-05,0.5,521.5,34,7
"Peter Lake",2015,222,2015-08-10,0.5,402.5,10,7.8
"Paul Lake",2015,223,2015-08-11,0.5,237.5,9,7.2
"Tuesday Lake",2015,224,2015-08-12,0.5,541.5,34,8.4
"Peter Lake",2015,229,2015-08-17,0.5,333.5,9,7.6
"Paul Lake",2015,230,2015-08-18,0.5,231.5,12,7.1
"Tuesday Lake",2015,231,2015-08-19,0.5,681.5,40,7.8
"Peter Lake",2015,236,2015-08-24,0.5,339.5,2,7.5
"Paul Lake",2015,237,2015-08-25,0.5,237.5,11,6.7
"Tuesday Lake",2015,238,2015-08-26,0.5,715.5,42,8.3
"Peter Lake",2016,144,2016-05-23,0.5,290,11,9
"Paul Lake",2016,145,2016-05-24,0.5,350,6,8.1
"Tuesday Lake",2016,146,2016-05-25,0.5,570,17,7.3
"Peter Lake",2016,151,2016-05-30,0.5,280,7,8.2
"Paul Lake",2016,152,2016-05-31,0.5,200,7,7.6
"Tuesday Lake",2016,153,2016-06-01,0.5,410,16,8.3
"Peter Lake",2016,158,2016-06-06,0.5,280,9,8
"Paul Lake",2016,159,2016-06-07,0.5,260,10,8.1
"Tuesday Lake",2016,160,2016-06-08,0.5,420,29,8.2
"Peter Lake",2016,165,2016-06-13,0.5,300,9,8.1
"Paul Lake",2016,166,2016-06-14,0.5,260,6,7.5
"Tuesday Lake",2016,167,2016-06-15,0.5,410,17,8.1
"Peter Lake",2016,172,2016-06-20,0.5,350,11,7.8
"Paul Lake",2016,173,2016-06-21,0.5,270,8,7.1
"Tuesday Lake",2016,174,2016-06-22,0.5,440,18,7.1
"Peter Lake",2016,179,2016-06-27,0.5,310,10,7.6
"Paul Lake",2016,180,2016-06-28,0.5,250,6,7.3
"Tuesday Lake",2016,181,2016-06-29,0.5,470,20,7.4
"Peter Lake",2016,186,2016-07-04,0.5,300,6,7.3
"Paul Lake",2016,187,2016-07-05,0.5,250,7,7.2
"Tuesday Lake",2016,188,2016-07-06,0.5,440,18,6.4
"Peter Lake",2016,193,2016-07-11,0.5,310,14,7.2
"Paul Lake",2016,194,2016-07-12,0.5,260,6,7.2
"Tuesday Lake",2016,195,2016-07-13,0.5,430,24,6.9
"Peter Lake",2016,200,2016-07-18,0.5,360,18,7.2
"Paul Lake",2016,201,2016-07-19,0.5,260,9,6.9
"Tuesday Lake",2016,202,2016-07-20,0.5,380,24,7
"Peter Lake",2016,207,2016-07-25,0.5,280,6,6.5
"Paul Lake",2016,208,2016-07-26,0.5,250,7,6.7
"Tuesday Lake",2016,209,2016-07-27,0.5,390,16,6.1
"Peter Lake",2016,214,2016-08-01,0.5,310,7,7
"Paul Lake",2016,215,2016-08-02,0.5,230,6,6.6
"Tuesday Lake",2016,216,2016-08-03,0.5,690,10,6.5
"Peter Lake",2016,221,2016-08-08,0.5,280,5,7.1
"Paul Lake",2016,222,2016-08-09,0.5,260,7,6.8
"Tuesday Lake",2016,223,2016-08-10,0.5,480,18,6.5
"Peter Lake",2016,228,2016-08-15,0.5,310,6,7.5
"Paul Lake",2016,229,2016-08-16,0.5,260,6,7
"Tuesday Lake",2016,230,2016-08-17,0.5,420,12,6.4
