"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","dissolvedOxygen"
"East Long Lake",1992,181,1992-06-29,12,1367.98,39.24,0.6
"West Long Lake",1992,182,1992-06-30,0,512.64,8.13,10
"West Long Lake",1992,182,1992-06-30,12,759.38,52.03,0.6
"Peter Lake",1992,183,1992-07-01,0,469.42,8.13,10
"Peter Lake",1992,183,1992-07-01,12,530.06,34.25,0.6
"East Long Lake",1992,188,1992-07-06,0,523.37,17.79,10.4
"East Long Lake",1992,188,1992-07-06,1,571.67,21.18,10.3
"East Long Lake",1992,188,1992-07-06,12,792.87,79.47,0.7
"West Long Lake",1992,189,1992-07-07,0,517.3,13.23,10.7
"West Long Lake",1992,189,1992-07-07,12,747.16,64.29,0.7
"Peter Lake",1992,190,1992-07-08,0,329.07,13.68,10.6
"Peter Lake",1992,190,1992-07-08,4,236.39,4.68,12.6
"Peter Lake",1992,190,1992-07-08,12,593.96,21.14,0.7
"East Long Lake",1992,195,1992-07-13,0,681.94,21.05,10.6
"East Long Lake",1992,195,1992-07-13,1,635.72,19.59,10.4
"East Long Lake",1992,195,1992-07-13,1.5,558.11,12.27,10.3
"East Long Lake",1992,195,1992-07-13,12,1201.87,71,0.6
"West Long Lake",1992,196,1992-07-14,0,393.32,5.23,10.4
"West Long Lake",1992,196,1992-07-14,12,699.19,59.91,0.6
"Peter Lake",1992,197,1992-07-15,0,131.83,6.7,10
"Peter Lake",1992,197,1992-07-15,12,540.77,39.8,0.6
"East Long Lake",1992,202,1992-07-20,0,657.69,17.19,9.2
"East Long Lake",1992,202,1992-07-20,12,1120.73,91.17,0.5
"West Long Lake",1992,203,1992-07-21,0,479.31,7.92,9.4
"West Long Lake",1992,203,1992-07-21,12,766.71,65.65,0.4
"Peter Lake",1992,204,1992-07-22,0,292.63,11.23,9.8
"Peter Lake",1992,204,1992-07-22,12,526.38,39.2,0.6
"East Long Lake",1992,209,1992-07-27,0,330.3,9.73,9.2
"East Long Lake",1992,209,1992-07-27,12,1285.27,71.97,0.3
"West Long Lake",1992,210,1992-07-28,0,306.07,6.08,9.3
"West Long Lake",1992,210,1992-07-28,12,759.46,71.85,0.4
"Peter Lake",1992,211,1992-07-29,0,282.85,8.3,9.5
